date,last_close,blended,gbm,ou,lstm,finbert_adjust_ref
2025-08-18,180.4499969482422,192.86783967728462,180.4570140541077,180.17508508184054,201.17772,180.4499969482422
2025-08-19,180.4499969482422,193.714685503672,180.45277304081634,179.90181359756306,202.62338,180.4499969482422
2025-08-20,180.4499969482422,194.9400278141411,180.4418797743627,179.6301065443676,204.7008,180.4499969482422
2025-08-21,180.4499969482422,196.42620346073096,180.44977720538043,179.36006059615534,207.21048,180.4499969482422
2025-08-22,180.4499969482422,198.07955021692007,180.44558262508974,179.09157418030017,210.00021,180.4499969482422
2025-08-25,180.4499969482422,199.83446317953153,180.44584130725016,178.82461128585012,212.95853,180.4499969482422
2025-08-26,180.4499969482422,201.6437439604903,180.45909976850749,178.5592877833765,216.00562,180.4499969482422
2025-08-27,180.4499969482422,203.4716030619688,180.45699051457444,178.2955678275155,219.08551,180.4499969482422
2025-08-28,180.4499969482422,205.29609688959675,180.45314640577286,178.03344867539926,222.15979,180.4499969482422
2025-08-29,180.4499969482422,207.1011633085241,180.4455064921659,177.77291710979299,225.20206,180.4499969482422
2025-09-01,180.4499969482422,208.8763540001943,180.43736830488703,177.5139868921721,228.19437,180.4499969482422
2025-09-02,180.4499969482422,210.61638695730556,180.45476568373897,177.25654111939997,231.12468,180.4499969482422
2025-09-03,180.4499969482422,212.31392438898862,180.46736132875344,177.00063340236628,233.98456,180.4499969482422
2025-09-04,180.4499969482422,213.96412305325845,180.45600897311422,176.7461679232986,236.76848,180.4499969482422
2025-09-05,180.4499969482422,215.56757698344697,180.45906372417352,176.49335398590216,239.47243,180.4499969482422
2025-09-08,180.4499969482422,217.12170088923216,180.46482741055019,176.24190298813912,242.09366,180.4499969482422
2025-09-09,180.4499969482422,218.6240875306243,180.45587295131546,175.9919684897896,244.63036,180.4499969482422
2025-09-10,180.4499969482422,220.07560925937094,180.45299013565202,175.74349588104116,247.08134,180.4499969482422
2025-09-11,180.4499969482422,221.4752041845061,180.44719576525708,175.49652110581263,249.44595,180.4499969482422
2025-09-12,180.4499969482422,222.82357311464398,180.44904113950918,175.25103093471932,251.72404,180.4499969482422
2025-09-15,180.4499969482422,224.12059683662162,180.45616131033492,175.00709372875824,253.91568,180.4499969482422
2025-09-16,180.4499969482422,225.36464912611856,180.44318921010773,174.76461662252927,256.02142,180.4499969482422
2025-09-17,180.4499969482422,226.5595968540547,180.4543007815809,174.5235440199621,258.04208,180.4499969482422
2025-09-18,180.4499969482422,227.70411810133075,180.46288690255275,174.28380447122856,259.97885,180.4499969482422
2025-09-19,180.4499969482422,228.79939646526518,180.4753070493517,174.04549489122994,261.8329,180.4499969482422
2025-09-22,180.4499969482422,229.84635273622456,180.4898127301324,173.8086928082885,263.60593,180.4499969482422
2025-09-23,180.4499969482422,230.84506985420828,180.49501687889884,173.57323830037564,265.2996,180.4499969482422
2025-09-24,180.4499969482422,231.7976051136646,180.50162927296958,173.3392603022143,266.91592,180.4499969482422
2025-09-25,180.4499969482422,232.7050165145871,180.5083269538586,173.10665802003015,268.45688,180.4499969482422
2025-09-26,180.4499969482422,233.56771573577217,180.5033835599349,172.8754100401719,269.92462,180.4499969482422
