date,p_crash
2025-08-18,6.5481873639640755e-09
2025-08-19,2.9128412955171377e-05
2025-08-20,0.0005151443924885813
2025-08-21,0.0022387541975029796
2025-08-22,0.005505948419958305
2025-08-25,0.01014852346257716
2025-08-26,0.015830940032854304
2025-08-27,0.02222187787062247
2025-08-28,0.029050557059688814
2025-08-29,0.0361128780398263
2025-09-01,0.04326137742737743
2025-09-02,0.050392356826625566
2025-09-03,0.05743451902377672
2025-09-04,0.06434004855329281
2025-09-05,0.07107795393220356
2025-09-08,0.07762921341362157
2025-09-09,0.08398327416283569
2025-09-10,0.09013553908489752
2025-09-11,0.0960855651951073
2025-09-12,0.10183577201691901
2025-09-15,0.10739051523183829
2025-09-16,0.11275542225204938
2025-09-17,0.11793691608236273
2025-09-18,0.12294187493265024
2025-09-19,0.12777738998573845
2025-09-22,0.1324505943191161
2025-09-23,0.13696854350802135
2025-09-24,0.14133813380904525
2025-09-25,0.14556604767248782
2025-09-26,0.14965871910276712
