date,p_crash
2025-08-18,0.0005614817048195459
2025-08-19,0.010623048660787554
2025-08-20,0.029994996733724345
2025-08-21,0.05166934693624087
2025-08-22,0.07257013972401127
2025-08-25,0.09176343329557252
2025-08-26,0.1091022414321221
2025-08-27,0.12470344347387124
2025-08-28,0.13875738126029075
2025-08-29,0.15145962231261578
2025-09-01,0.162988145473425
2025-09-02,0.1734976040580541
2025-09-03,0.18311985669163638
2025-09-04,0.19196655248899352
2025-09-05,0.20013213322242657
2025-09-08,0.20769664772461877
2025-09-09,0.2147281909693453
2025-09-10,0.2212849451846321
2025-09-11,0.22741686041383674
2025-09-12,0.23316702870667422
2025-09-15,0.23857280573466616
2025-09-16,0.24366672720959054
2025-09-17,0.24847725967994422
2025-09-18,0.2530294179077701
2025-09-19,0.2573452746867221
2025-09-22,0.26144438374395274
2025-09-23,0.265344132170968
2025-09-24,0.269060035491791
2025-09-25,0.2726059858389307
2025-09-26,0.2759944616262561
